"","level","success","success_rate","offered","id","rank","tf","idf","level1","level2","psuccess","lemmaTF","bucket","model_prediction","model_correct","age"
"2966",1,1,79.31034483,29,9500,180,441,0.936170213,1,1,90.90909091,5103506,3,1,1,24.8793950312396
"2967",2,1,33.33333333,27,12189,424,201,0.936170213,1,2,90.90909091,1300703,7,1,1,24.8793950312396
"2968",2,1,10.52631579,19,16190,333,2,0.042553191,2,2,81.81818182,635511,9,1,1,24.8793950312396
"2969",3,1,34.14634146,41,12417,156,49,0.595744681,2,3,81.81818182,710042,7,1,1,24.8793950312396
"2970",3,1,34.14634146,41,16682,1286,49,0.595744681,4,3,81.81818182,710042,7,1,1,24.8793950312396
"2971",11,0,16,25,16877,6405,4,0.063829787,2,11,0,41529,9,0,1,24.8793950312396
"2972",3,1,51.72413793,29,9827,5062,67,0.553191489,2,3,81.81818182,682365,5,1,1,24.8793950312396
"2973",2,0,38.46153846,26,9773,1629,245,0.319148936,1,2,90.90909091,639914,7,1,0,24.8793950312396
"2974",3,1,77.27272727,22,9534,44,3295,1,1,3,90.90909091,28459816,3,1,1,24.8793950312396
"2975",4,0,38.0952381,21,12595,3370,61,0.446808511,2,4,81.81818182,68910,7,1,0,24.8793950312396
"2976",11,1,58.82352941,17,17484,3222,2,0.042553191,1,11,0,36367,5,0,0,24.8328505484035
"2977",11,0,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,1,24.8793950312396
"2978",11,1,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,0,24.8793950312396
"2979",11,0,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,1,24.8793950312396
"2980",11,1,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,0,24.8793950312396
"2981",11,0,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,1,24.8793950312396
"2982",11,1,35.48387097,31,15842,NA,6,0.063829787,2,11,0,168852,7,0,0,24.8793950312396
"2983",1,1,45.45454545,22,12255,3271,225,0.808510638,1,1,90.90909091,350188,6,1,1,24.8793950312396
"2984",1,1,56.66666667,30,12265,3591,254,0.787234043,1,1,90.90909091,441284,5,1,1,24.8328505484035
"2985",3,1,75,20,12962,565,75,0.29787234,2,3,81.81818182,2332384,3,1,1,24.8793950312396
"2986",1,1,33.33333333,24,11414,5339,121,0.340425532,2,1,81.81818182,72729,7,1,1,24.8793950312396
"2987",4,0,30.43478261,23,10474,242,1051,0.957446809,1,4,90.90909091,24267521,7,1,0,24.8328505484035
"2988",1,1,50,26,12192,375,289,0.936170213,1,1,90.90909091,1683976,5,1,1,24.8793950312396
"2989",2,0,56.52173913,23,12606,11601,43,0.446808511,2,2,81.81818182,822551,5,1,0,24.8328505484035
"2990",2,0,37.5,16,12276,202,184,0.765957447,1,2,90.90909091,1925277,7,1,0,24.8793950312396
"2991",5,1,51.61290323,31,9981,213,329,0.914893617,1,5,90.90909091,2590846,5,1,1,24.8793950312396
"2992",5,0,12.76595745,47,17890,289,1,0.021276596,2,5,81.81818182,311705,9,1,0,24.8793950312396
"2993",5,0,12.76595745,47,16179,289,1,0.021276596,2,5,81.81818182,311705,9,1,0,24.8793950312396
"2994",6,0,25,20,12671,5082,64,0.404255319,2,6,81.81818182,183219,8,1,0,24.8793950312396
"2995",3,0,18.75,16,11334,959,67,0.595744681,2,3,81.81818182,828105,9,1,0,24.8328505484035
"2996",1,1,35.29411765,17,12310,46,86,0.70212766,1,1,90.90909091,1646039,7,1,1,24.8793950312396
"2997",1,1,35,20,12442,502,52,0.574468085,2,1,81.81818182,1036673,7,1,1,24.8793950312396
"2998",2,1,35.71428571,28,18282,8931,3,0.042553191,1,2,90.90909091,52556,7,1,1,24.8328505484035
"2999",2,0,37.5,24,16424,6494,5,0.085106383,1,2,90.90909091,122232,7,1,0,24.8328505484035
"3000",6,1,10,20,10440,197,1449,0.978723404,1,6,90.90909091,8915599,9,1,1,24.8793950312396
"3001",1,1,48.14814815,27,16480,922,0,0,2,1,81.81818182,557014,6,1,1,24.8793950312396
"3002",1,1,50,16,9522,46,341,0.936170213,1,1,90.90909091,15125504,5,1,1,24.8793950312396
"3003",5,0,8.695652174,23,12644,4868,43,0.425531915,2,5,81.81818182,94992,10,1,0,24.8793950312396
"3004",1,0,37.03703704,27,10705,7421,81,0.659574468,2,1,81.81818182,1600627,7,1,0,24.8793950312396
"3005",3,0,4.761904762,21,12687,5552,44,0.404255319,2,3,81.81818182,16635,10,1,0,24.8793950312396
"3006",2,1,44,25,12432,1747,76,0.574468085,2,2,81.81818182,824774,6,1,1,24.8793950312396
"3007",2,1,19.04761905,21,9592,497,46,0.489361702,2,2,81.81818182,3004720,9,1,1,24.8793950312396
"3008",1,0,25,24,10819,8282,288,0.893617021,1,1,90.90909091,1348922,8,1,0,24.8793950312396
"3009",3,0,55.55555556,54,16627,1173,43,0.510638298,2,3,81.81818182,363707,5,1,0,24.8793950312396
"3010",3,0,55.55555556,54,12520,8039,43,0.510638298,2,3,81.81818182,363707,5,1,0,24.8793950312396
"3011",7,0,29.16666667,24,10090,498,238,0.893617021,1,7,90.90909091,3057678,8,1,0,24.8793950312396
"3012",4,1,62.5,24,12338,3012,91,0.659574468,1,4,90.90909091,393523,4,1,1,24.8793950312396
"3013",6,0,21.42857143,28,9791,2218,54,0.489361702,2,6,81.81818182,334925,8,1,0,24.8793950312396
"3014",5,1,52.63157895,19,9631,3665,159,0.744680851,1,5,90.90909091,1082240,5,1,1,24.8793950312396
